clip_id,filename,duration_s,resolution,fps,codec,pix_fmt,file_size_mb,short_lt_5s,long_gt_15s,below_vjepa2_min,portrait
IMG_1155_w2,IMG_1155_w2.mov,7.020,2160x3840,59.97,h264,yuvj420p,33.0,FALSE,FALSE,FALSE,TRUE
IMG_1141_w1,IMG_1141_w1.mov,7.229,2160x3840,59.97,h264,yuvj420p,33.8,FALSE,FALSE,FALSE,TRUE
IMG_1141_w2,IMG_1141_w2.mov,7.229,2160x3840,59.97,h264,yuvj420p,34.6,FALSE,FALSE,FALSE,TRUE
IMG_1147_w1,IMG_1147_w1.mov,7.370,2160x3840,59.97,h264,yuvj420p,34.5,FALSE,FALSE,FALSE,TRUE
IMG_1147_w2,IMG_1147_w2.mov,7.370,2160x3840,59.97,h264,yuvj420p,36.4,FALSE,FALSE,FALSE,TRUE
IMG_1117_w1,IMG_1117_w1.mov,7.479,2160x3840,59.97,h264,yuvj420p,34.9,FALSE,FALSE,FALSE,TRUE
IMG_1117_w2,IMG_1117_w2.mov,7.479,2160x3840,59.97,h264,yuvj420p,37.5,FALSE,FALSE,FALSE,TRUE
IMG_1067_w1,IMG_1067_w1.mov,8.071,1080x1920,59.97,h264,yuvj420p,16.0,FALSE,FALSE,FALSE,TRUE
IMG_1067_w2,IMG_1067_w2.mov,8.071,1080x1920,59.97,h264,yuvj420p,16.1,FALSE,FALSE,FALSE,TRUE
IMG_1060_w1,IMG_1060_w1.mov,8.613,1080x1920,59.97,h264,yuvj420p,17.1,FALSE,FALSE,FALSE,TRUE
IMG_1060_w2,IMG_1060_w2.mov,8.613,1080x1920,59.97,h264,yuvj420p,17.4,FALSE,FALSE,FALSE,TRUE
IMG_1118_w1,IMG_1118_w1.mov,8.954,2160x3840,59.97,h264,yuvj420p,41.8,FALSE,FALSE,FALSE,TRUE
IMG_1118_w2,IMG_1118_w2.mov,8.954,2160x3840,59.97,h264,yuvj420p,44.3,FALSE,FALSE,FALSE,TRUE
IMG_1134_w1,IMG_1134_w1.mov,9.287,2160x3840,59.97,h264,yuvj420p,43.3,FALSE,FALSE,FALSE,TRUE
IMG_1134_w2,IMG_1134_w2.mov,9.287,2160x3840,59.97,h264,yuvj420p,45.1,FALSE,FALSE,FALSE,TRUE
IMG_1058_w1,IMG_1058_w1.mov,9.496,1080x1920,59.97,h264,yuvj420p,19.3,FALSE,FALSE,FALSE,TRUE
IMG_1058_w2,IMG_1058_w2.mov,9.496,1080x1920,59.97,h264,yuvj420p,19.7,FALSE,FALSE,FALSE,TRUE
